MangAgen,the_geom,ProjName,ORRID,OneNYC,ProjVal,Schedule,CompDate,FndSourc,Borough,CounDist,CommBord,MoreInfo,Link
Department of Parks and Recreation,POINT (-73.88967473151949 40.763668157484),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Queens [Multisite]",DPR278,Infrastructure,5000000,Completed,Q1 2015,"FEMA, City Funds",Queens,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34","QN-1, QN-2, QN-3, QN-5, QN-6, QN-7, QN-8, QN-9, QN-11, QN-12, QN-13, QN-14","Work includes reconstruction of play equipment, safety surfacing, handball and basketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-73.88838443151405 40.75140895747986),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Queens [Multisite]",DPR278,Infrastructure,5000000,Completed,Q1 2015,"FEMA, City Funds",Queens,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34","QN-1, QN-2, QN-3, QN-5, QN-6, QN-7, QN-8, QN-9, QN-11, QN-12, QN-13, QN-14","Work includes reconstruction of play equipment, safety surfacing, handball and basketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-73.88375023152297 40.76754645748706),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Queens [Multisite]",DPR278,Infrastructure,5000000,Completed,Q1 2015,"FEMA, City Funds",Queens,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34","QN-1, QN-2, QN-3, QN-5, QN-6, QN-7, QN-8, QN-9, QN-11, QN-12, QN-13, QN-14","Work includes reconstruction of play equipment, safety surfacing, handball and basketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-73.85793739828091 40.7626647608514),World's Fair Marina Reconstruction,DPR317,Coastal Defense,0,Planning,,"FEMA-428, City Funds",Queens,21,QN-3,"Work includes reconstruction of docks, gangways, pilings, and electircal components.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Environmental Protection,POINT (-73.8541326191971 40.755238467424796),Resiliency Work at 37th Avenue Pumping Station,DEP006,Infrastructure,700000,Planning,Q3 2021,City Funds,Queens,21,QN-3,Work includes floodproofing and elevating equipment.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Parks and Recreation,POINT (-73.86966903152509 40.76386115748955),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Queens [Multisite]",DPR278,Infrastructure,5000000,Completed,Q1 2015,"FEMA, City Funds",Queens,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34","QN-1, QN-2, QN-3, QN-5, QN-6, QN-7, QN-8, QN-9, QN-11, QN-12, QN-13, QN-14","Work includes reconstruction of play equipment, safety surfacing, handball and basketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-73.84778743152486 40.75063425749068),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Queens [Multisite]",DPR278,Infrastructure,5000000,Completed,Q1 2015,"FEMA, City Funds",Queens,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34","QN-1, QN-2, QN-3, QN-5, QN-6, QN-7, QN-8, QN-9, QN-11, QN-12, QN-13, QN-14","Work includes reconstruction of play equipment, safety surfacing, handball and basketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Environmental Protection,POINT (-73.89433187533669 40.77977328152303),Resiliency Work at Bowery Bay WWTP,DEP041,Infrastructure,50000000,Planning,Q3 2021,"FEMA, City Funds",Queens,22,QN-1,Work includes floodproofing and elevating equipment.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Department of Transportation,POINT (-73.83838869496661 40.76334236896235),NYCDOT Facilities Damage Repairs and Contents Replacement [Multisite],NYCDOT001,Buildings,3000000,Construction,Q1 2017,"FEMA, City Funds",Citywide,"10, 20, 21, 26, 33, 49","MN-12, BK-1, QN-2, QN-7, SI-1","Work includes repairing facility structures, replacing industrial printers and copiers, and IT equipment and switches at City-owned and leased facilities.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Department of Transportation,POINT (-73.83838869496661 40.76334236896235),NYCDOT Facilities Damage Repairs and Contents Replacement [Multisite],NYCDOT001,Buildings,3000000,Construction,Q1 2017,"FEMA, City Funds",Citywide,"10, 20, 21, 26, 33, 49","MN-12, BK-1, QN-2, QN-7, SI-1","Work includes repairing facility structures, replacing industrial printers and copiers, and IT equipment and switches at City-owned and leased facilities.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
